root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 0
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 0
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 1
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 0
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 1
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 2
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 3
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 1
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 2
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 2
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 4
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 3
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 3
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 4
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 5
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 4
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 5
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 5
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 6
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 6
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 6
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 7
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 7
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 8
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 7
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 9
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 8
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 10
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 11
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 8
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 12
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 9
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 9
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 13
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 10
